,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,29,MEM,27,27,26.6,3.5,5.9,.597,0.0,0.0,.000,3.5,5.9,.601,.597,0.9,2.7,.333,4.7,5.5,10.2,2.3,0.9,1.2,2.1,2.4,7.9
1,Bam Adebayo,C,25,MIA,29,29,35.0,8.3,15.4,.537,0.0,0.3,.100,8.2,15.1,.547,.538,4.3,5.1,.839,2.4,7.5,9.9,3.4,1.0,0.7,3.1,3.2,20.9
2,Ochai Agbaji,SG,22,UTA,15,0,8.3,1.1,2.7,.415,0.3,1.3,.250,0.8,1.4,.571,.476,0.3,0.6,.444,0.4,0.7,1.1,0.2,0.1,0.0,0.0,0.9,2.9
3,Santi Aldama,PF,22,MEM,29,16,24.1,3.5,7.4,.474,1.3,3.6,.356,2.2,3.8,.586,.560,1.6,2.1,.770,1.3,4.2,5.6,1.3,0.8,0.9,0.6,2.5,9.9
4,Nickeil Alexander-Walker,SG,24,UTA,23,2,15.4,2.5,5.1,.483,1.1,2.7,.413,1.3,2.4,.564,.593,0.7,1.0,.727,0.3,1.3,1.5,2.3,0.6,0.4,1.3,1.7,6.8
5,Grayson Allen,SG,27,MIL,28,26,27.4,3.4,7.5,.459,1.8,4.4,.410,1.6,3.1,.529,.579,1.9,2.0,.930,0.9,2.8,3.6,2.6,0.8,0.2,1.1,1.4,10.5
6,Jarrett Allen,C,24,CLE,26,26,33.5,5.7,9.1,.620,0.0,0.1,.000,5.7,9.0,.628,.620,2.8,3.8,.737,3.0,7.2,10.2,1.5,0.7,1.3,1.6,2.3,14.1
7,Jose Alvarado,PG,24,NOP,29,6,20.5,3.3,7.6,.443,1.5,4.0,.368,1.9,3.5,.529,.541,1.0,1.3,.769,0.4,1.8,2.2,3.2,1.2,0.1,1.4,2.3,9.2
8,Kyle Anderson,PF,29,MIN,25,10,24.3,2.6,5.5,.478,0.4,1.2,.345,2.2,4.4,.514,.514,1.6,2.0,.800,0.5,3.7,4.2,3.4,1.1,0.8,1.4,1.9,7.3
9,Giannis Antetokounmpo,PF,28,MIL,26,26,33.0,11.3,21.1,.537,0.8,3.1,.259,10.5,18.0,.585,.556,8.1,12.6,.640,2.1,9.1,11.2,5.1,0.8,1.0,3.7,3.6,31.6
