,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1,2,3,Year
0,Nikola Jokić,25,DEN,91.0,971.0,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,,,,2021
1,Joel Embiid,26,PHI,1.0,586.0,1010,0.58,51,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266,,,,2021
2,Stephen Curry,32,GSW,5.0,453.0,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201,,,,2021
3,Giannis Antetokounmpo,26,MIL,1.0,348.0,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,,,,2021
4,Chris Paul,35,PHO,2.0,139.0,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,,,,2021
5,Luka Dončić,21,DAL,0.0,42.0,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163,,,,2021
6,Damian Lillard,30,POR,0.0,38.0,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,,,,2021
7,Julius Randle,26,NYK,0.0,20.0,1010,0.02,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,,,,2021
8,Derrick Rose,32,TOT,1.0,10.0,1010,0.01,50,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,3.1,0.118,,,,2021
9,Rudy Gobert,28,UTA,0.0,8.0,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248,,,,2021
10,Giannis Antetokounmpo,25,MIL,85.0,962.0,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,,,,2020
11,LeBron James,35,LAL,16.0,753.0,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,,,,2020
12,James Harden,30,HOU,0.0,367.0,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,,,,2020
13,Luka Dončić,20,DAL,0.0,200.0,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,,,,2020
14,Kawhi Leonard,28,LAC,0.0,168.0,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,,,,2020
15,Anthony Davis,26,LAL,0.0,82.0,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,,,,2020
16,Chris Paul,34,OKC,0.0,26.0,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,,,,2020
17,Damian Lillard,29,POR,0.0,23.0,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225,,,,2020
18,Nikola Jokić,24,DEN,0.0,18.0,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202,,,,2020
19,Pascal Siakam,25,TOR,0.0,17.0,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,,,,2020
20,Giannis Antetokounmpo,24,MIL,78.0,941.0,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,,,,2019
21,James Harden,29,HOU,23.0,776.0,1010,0.768,78,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254,,,,2019
22,Paul George,28,OKC,0.0,356.0,1010,0.352,77,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,,,,2019
23,Nikola Jokić,23,DEN,0.0,212.0,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,,,,2019
24,Stephen Curry,30,GSW,0.0,175.0,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,,,,2019
25,Damian Lillard,28,POR,0.0,69.0,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,,,,2019
26,Joel Embiid,24,PHI,0.0,49.0,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,,,,2019
27,Kevin Durant,30,GSW,0.0,25.0,1010,0.025,78,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,,,,2019
28,Kawhi Leonard,27,TOR,0.0,13.0,1010,0.013,60,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224,,,,2019
29,Russell Westbrook,30,OKC,0.0,8.0,1010,0.008,73,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124,,,,2019
30,James Harden,28,HOU,86.0,965.0,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,,,,2018
31,LeBron James,33,CLE,15.0,738.0,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221,,,,2018
32,Anthony Davis,24,NOP,0.0,445.0,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,,,,2018
33,Damian Lillard,27,POR,0.0,207.0,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,,,,2018
34,Russell Westbrook,29,OKC,0.0,76.0,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,,,,2018
35,Giannis Antetokounmpo,23,MIL,0.0,75.0,1010,0.074,75,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,,,,2018
36,Kevin Durant,29,GSW,0.0,66.0,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,,,,2018
37,DeMar DeRozan,28,TOR,0.0,32.0,1010,0.032,80,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,,,,2018
38,LaMarcus Aldridge,32,SAS,0.0,6.0,1010,0.006,75,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.837,10.9,0.209,,,,2018
39,Jimmy Butler,28,MIN,0.0,5.0,1010,0.005,59,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198,,,,2018
40,Russell Westbrook,28,OKC,69.0,888.0,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,,,,2017
41,James Harden,27,HOU,22.0,753.0,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245,,,,2017
42,Kawhi Leonard,25,SAS,9.0,500.0,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,,,,2017
